Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Korean 5,KORE10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10005
Introduction to Property,PROP10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/prop10002
Korean 6,KORE20006,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20006
Korean 6,KORE10006,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10006
Archaeoastronomy,PHYC20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phyc20017
Korean 5,KORE30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/kore30003
Islam and Gender,ISLM30021,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/islm30021
Korean 6,KORE30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/kore30004
Environmental Sociology: Warming Planet,SOCI20020,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/soci20020
Korean 5,KORE20005,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20005
Digital Asia,ASIA20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/asia20008
Music and Health,MUSI10237,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10237
Our Digital Worlds,ARTS10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arts10003
Design History & Theory in the Making,ARCH10004,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arch10004
Energy Pathways to Net-Zero,EVSC30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/evsc30009
The Art and Science of Meditation,MULT10020,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mult10020
Activism and Social Change in China,CHIN20030,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20030
Geochemistry,GEOL30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30004
Languages at Work,LANG30001,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/lang30001
Renaissance Drama,ENGL30053,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engl30053
"Building Earth: Rocks, Minerals, Magmas",GEOL20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geol20003
