Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Corruption in Asia,ASIA30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/asia30004
Video Games: Remaking Reality,CCDP10003,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ccdp10003
The Electronic Arts: Vision and Sound,CCDP10002,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ccdp10002
Economics for Environmental Scientists,ENST20004,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/enst20004
Decolonising the Landscape MultiStudio 2,AIND20013,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/aind20013
Environmental Systems Modelling & Design,ENEN30003,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/enen30003
Arts Internship: Not for Profit,MULT30020,"Offered Semester 1, Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/mult30020
Music Performance Science,MUSI20223,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20223
Creating Music For Advertising,MUSI20167,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20167
Health & Disease in Wildlife Populations,VETS30033,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/vets30033
Decolonising the Landscape MultiStudio 1,AIND10005,Not offered in 2024,1,https://handbook.unimelb.edu.au/2024/subjects/aind10005
Intro to Sustainable Water Management,ENEN30002,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/enen30002
Challenges & Hopes in Contemporary Asia,UNIB10021,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/unib10021
Indigenous Cultures and Knowledges,UNIB20022,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/unib20022
Inequalities: Causes and Consequences,UNIB20021,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/unib20021
Theatre Histories,ENGL20036,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/engl20036
German 1,GERM10004,"Offered Summer Term, Semester 1, Winter Term, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/germ10004
French 6,FREN20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fren20002
Experiencing Italian Foodscapes,EURO20008,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/euro20008
German 9,GERM20009,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/germ20009
Indonesian Literature and Film,INDO30006,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/indo30006
From Page to Stage: French Theatre,FREN20022,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fren20022
Renaissance Art in Global Context,AHIS30022,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ahis30022
Free Play New Music Improvisation Ensem,MUSI20164,"Offered January, Semester 1, June, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20164
Intermediate Financial Mathematics,ACTL30006,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/actl30006
French 3,FREN10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fren10001
Hebrew 4,HEBR10006,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/hebr10006
Second Language Learning and Teaching,LING20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ling20003
First Language Acquisition,LING30003,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/ling30003
Rebels and Revolutionaries,HIST20065,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20065
Ancient Greek 4,CLAS10021,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/clas10021
Italian 4,ITAL10002,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ital10002
Chinese 5,CHIN30008,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/chin30008
French 5,FREN10006,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fren10006
Experiencing Italian Foodscapes,EURO30007,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/euro30007
Italian 3,ITAL20007,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ital20007
Australian Politics in the Long Run,POLS30007,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/pols30007
Japanese 8,JAPN20004,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20004
Hebrew 6,HEBR20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hebr20008
Foundational Biology: Life's Machinery,BIOL10008,"Offered Summer Term, Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/biol10008
Bad Science,HPSC10004,Not offered in 2024,1,https://handbook.unimelb.edu.au/2024/subjects/hpsc10004
Matters of Taste: French Eating Cultures,FREN30015,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/fren30015
"Myth, Art and Empire: Greece and Rome",ANCW10002,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ancw10002
French 4,FREN20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fren20017
Chinese 7,CHIN10003,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/chin10003
Screening Europe: Image and Identity,EURO20005,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/euro20005
Introduction to Screenprinting,FINA20045,"Offered January, February, April, June, July, September, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fina20045
Introduction to Indigenous Education,EDUC10060,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/educ10060
Contemporary Art,AHIS30020,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ahis30020
Latin 4,CLAS20031,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/clas20031
Indonesian Literature and Film,INDO20015,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indo20015
"Genders, Bodies & Sexualities",GEND20003,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/gend20003
Media and Urban Culture in Asia,ASIA20001,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/asia20001
German 2,GERM10005,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/germ10005
Memory & Memoirs of 20th Century Europe,EURO20003,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/euro20003
Romanticism to Decadence: French Novels,FREN30005,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/fren30005
The Rise and Fall of the Roman Republic,ANCW20019,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ancw20019
Analysing Professional Communication,MECM20012,"Offered Summer Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/mecm20012
Australia Now,MULT20013,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/mult20013
Arabic 6,ARBC30005,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/arbc30005
The History of Cool: Fashion & Attitude,DPSS10007,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/dpss10007
Aboriginal Women: Activism & Leadership,INDG20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indg20003
