Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Introduction to Property,PROP10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/prop10002
Korean 6,KORE20006,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20006
Korean 5,KORE30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/kore30003
Korean 5,KORE10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10005
Korean 6,KORE10006,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10006
Our Digital Worlds,ARTS10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arts10003
Archaeoastronomy,PHYC20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phyc20017
Islam and Gender,ISLM30021,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/islm30021
Environmental Sociology: Warming Planet,SOCI20020,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/soci20020
Music and Health,MUSI10237,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10237
Korean 5,KORE20005,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20005
Korean 6,KORE30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/kore30004
Digital Asia,ASIA20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/asia20008
The Art and Science of Meditation,MULT10020,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mult10020
Personality and Social Psychology,PSYC20009,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/psyc20009
Developmental Psychology,PSYC20008,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/psyc20008
Introduction to Epidemiology,POPH20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/poph20002
Design History & Theory in the Making,ARCH10004,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arch10004
Indonesian 6,INDO10004,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/indo10004
Creating Music For Advertising,MUSI20167,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20167
Indonesian 5,INDO10003,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/indo10003
"Building Earth: Rocks, Minerals, Magmas",GEOL20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geol20003
Environmental Geoscience,ERTH20002,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/erth20002
Geochemistry,GEOL30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30004
Big Band 1 (Breadth),MUSI30277,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30277
Symphonic Ensembles 1 (Breadth),MUSI10235,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10235
Symphonic Ensembles 1 (Breadth),MUSI30279,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30279
Sedimentary Geology and Hydrogeology,GEOL30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30003
Creative Nonfiction & Multimodal Writing,CWRI10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/cwri10003
Hebrew 7,HEBR20016,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hebr20016
Field Geology,GEOL30009,"Offered July, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30009
Hebrew 9,HEBR30018,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hebr30018
Musicals & Society: Oklahoma to Hamilton,MUST20016,"Offered July, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/must20016
Hebrew 8,HEBR30017,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hebr30017
Berlin and Beyond,GERM20011,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/germ20011
Movies and Money 1,FLTV20022,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fltv20022
Music Performance Science,MUSI20223,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20223
Hebrew 8,HEBR20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hebr20017
Hebrew 10,HEBR30019,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hebr30019
