Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Korean 5,KORE10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10005
Korean 6,KORE10006,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10006
Archaeoastronomy,PHYC20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phyc20017
Islam and Gender,ISLM30021,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/islm30021
Foundations of Digital Government,PADM20001,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/padm20001
Digital Asia,ASIA20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/asia20008
Music and Health,MUSI10237,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10237
Our Digital Worlds,ARTS10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arts10003
Design History & Theory in the Making,ARCH10004,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arch10004
The Art and Science of Meditation,MULT10020,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mult10020
Languages at Work,LANG30001,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/lang30001
Renaissance Drama,ENGL30053,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engl30053
The Art of Working Online,MUST10017,Not offered in 2024,1,https://handbook.unimelb.edu.au/2024/subjects/must10017
Symphonic Ensembles 1 (Breadth),MUSI10235,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10235
Big Band 1 (Breadth),MUSI30277,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30277
Law Space: Geographies of Justice,GEOG30031,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/geog30031
Creative Nonfiction & Multimodal Writing,CWRI10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/cwri10003
Big Band 2 (Breadth),MUSI30278,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30278
Symphonic Ensembles 2 (Breadth),MUSI10236,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10236
Topics in Ethnomusicology,MUSI20217,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20217
Hebrew 7,HEBR20016,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hebr20016
Hebrew 9,HEBR30018,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hebr30018
Musicals & Society: Oklahoma to Hamilton,MUST20016,"Offered July, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/must20016
Hebrew 8,HEBR30017,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hebr30017
Berlin and Beyond,GERM20011,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/germ20011
Optimising Personal Performance,MUSI20228,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20228
Movies and Money 1,FLTV20022,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fltv20022
Music Performance Science,MUSI20223,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20223
Hebrew 10,HEBR30019,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/hebr30019
Making Micro Documentaries,FLTV10024,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/fltv10024
Indigenous Music and Musicians,MUSI20231,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/musi20231
The Electronic Arts: Vision and Sound,CCDP10002,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ccdp10002
Video Games: Remaking Reality,CCDP10003,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ccdp10003
Area Studies in Ethnomusicology,MUSI20218,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20218
