Course Name,Course Code,Location,Duration,Credit Points,Course Url
Bachelor of Environments,B-ENVS,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-envs
Bachelor of Arts,B-ARTS,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-arts
Bachelor of Science,B-SCI,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-sci
Bachelor of Agriculture,B-AGR,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-agr
Bachelor of Commerce,B-COM,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-com
Bachelor of Music,B-MUS,"Southbank, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-mus
Bachelor of Design,B-DES,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-des
Bachelor of Biomedicine,B-BMED,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/b-bmed
Master of Clinical Research,N01AA,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/n01aa
Graduate Diploma in Clinical Education,GD-CLINED,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-clined
"Doctor of Philosophy - Medicine, Dentistry and Health Sciences",DR-PHILMDH,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philmdh
Graduate Certificate in Clinical Education,GC-CLINED,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-clined
Master of Primary Health Care,546AA,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/546aa
Graduate Certificate in Primary Care Nursing,GC-PCN,"Parkville, Mixed Attendance Mode",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-pcn
Master of Commerce (Actuarial Science),MC-COMACTS,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-comacts
Master of Philosophy - MDHS (Medicine),MR-PHILMED,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philmed
Master of Clinical Education,MC-CLINED,"Parkville, On Campus",36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-clined
Master of Genetic Counselling,MC-GENCOUN,"Parkville, On Campus",24 months full-time or 36 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-gencoun
Specialist Certificate in Paediatric Critical Care Nursing,SC-PAECCN,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-paeccn
Doctor of Optometry,MC-DOPTOM,"Parkville, On Campus",48 months full-time,400,https://handbook.unimelb.edu.au/2024/courses/mc-doptom
Graduate Certificate in English for the Global Workplace,GC-ENGGWRK,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-enggwrk
Master of Philosophy - Law,MR-PHILLAW,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-phillaw
Master of Analytics Management,MC-ANAMGT,"Parkville, On Campus",18 months full-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-anamgt
Doctor of Laws,DH-LLD,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-lld
Master of Entrepreneurship (Enhanced),MC-ETRENH,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-etrenh
Graduate Diploma in Biomedical Science,GD-BMEDSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-bmedsc
Graduate Certificate in Bushfire Planning and Management,GC-BFIREPM,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-bfirepm
Graduate Diploma in Computer Science,GD-CS,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-cs
Graduate Certificate in Aboriginal Health in Rural Communities,GC-AHRC,"Shepparton, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-ahrc
Master of Theatre (Writing),MC-THTRWRI,"Southbank, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-thtrwri
Master of Philosophy - Science,MR-PHILSCI,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philsci
Graduate Certificate in Physiotherapy (Exercise and Women's Health),GC-PHTYEWH,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-phtyewh
Master of Science (Epidemiology),MC-SCIEPI,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-sciepi
Master of Entrepreneurship,MC-ENTRPSP,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-entrpsp
Graduate Certificate in Agricultural Sciences,GC-AGSC,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-agsc
Doctor of Philosophy - Business and Economics,DR-PHILBE,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philbe
Bachelor of Agriculture (Degree with Honours),BH-AGR,"Parkville, On Campus",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/bh-agr
Specialist Certificate in Empowering Health in Aboriginal Communities,SC-EHAC,"Shepparton, On Campus",12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-ehac
Specialist Certificate in Public Health,SC-PUBHLTH,"Parkville, Mixed Attendance Mode",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-pubhlth
Graduate Certificate in Supply Chain and Operations Management,GC-SCOM,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-scom
Specialist Certificate in Research Practice (HASS),SC-RPHASS,Off Campus,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-rphass
Master of Theatre (Directing),MC-THTRDIR,"Southbank, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-thtrdir
Master of Actuarial Science (Extended),MC-ACTSCEX,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-actscex
Graduate Certificate in Public Health,GC-PUBHLTH,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-pubhlth
Master of Actuarial Science,MC-ACTSC,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-actsc
Doctor of Music,DH-MUS,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-mus
Master of Psychology (Clinical Neuropsychology)/Doctor of Philosophy,080CN,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/080cn
Doctor of Agricultural Science,DH-AGRSC,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-agrsc
Graduate Certificate in Professional Skills for Scientists,GC-PROFSC,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-profsc
Doctor of Philosophy - Science,DR-PHILSCI,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philsci
Doctor of Philosophy - Agricultural Sciences,DR-PHILAGR,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philagr
Graduate Certificate in Adolescent Health and Wellbeing,GC-ADOLHW,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-adolhw
Specialist Certificate in Public Administration (Advanced),SC-PAADV,Off Campus,12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-paadv
Doctor of Veterinary Science,DH-VSC,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-vsc
Specialist Certificate in Urban and Cultural Heritage,SC-UCH,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-uch
Graduate Certificate in Sustainable Business,GC-SUSTBUS,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-sustbus
Graduate Certificate in Green Infrastructure,GC-GRINFRA,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-grinfra
Graduate Diploma in Economics,GD-ECO,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-eco
Doctor of Philosophy - Indigenous Knowledge,DR-PHILIK,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philik
Graduate Diploma in Property Valuation,702PA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/702pa
Graduate Diploma in Clinical Psychology,GD-CLINPSY,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-clinpsy
Graduate Certificate in Green Infrastructure,GC-GRINFRA,"Burnley, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-grinfra
Graduate Diploma in Property Valuation,702PA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/702pa
Graduate Diploma in Economics,GD-ECO,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-eco
Specialist Certificate in Research Practice for Scientists,SC-RESPRSC,Off Campus,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-resprsc
Master of Advanced Nursing Practice (Nurse Practitioner),MC-ANPNP,"Parkville, On Campus",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-anpnp
Doctor of Visual and Performing Arts,DH-VPA,,0 months part-time or 0 months full-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-vpa
Master of Applied Econometrics,MC-AEMTRCS,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-aemtrcs
Graduate Certificate in Visual Art,842AA,"Southbank, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/842aa
Graduate Diploma in Actuarial Science,GD-ACTSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-actsc
Graduate Diploma in Agricultural Sciences,GD-AGSC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-agsc
Graduate Certificate in Marketing,423AA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/423aa
Master of Energy Systems,MC-ENGYSYS,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-engysys
Master of Speech Pathology,MC-SPCHPTH,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-spchpth
Graduate Diploma in Journalism (Advanced),GDA-JOURN,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gda-journ
Graduate Certificate in Business Analytics,GC-BUSANA,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-busana
