Course Code,Major/Minor Name,URL
B-ENVS,Architecture,https://handbook.unimelb.edu.au/2024/components/b-envs-major-2/print
B-ENVS,Construction,https://handbook.unimelb.edu.au/2024/components/b-envs-major-1/print
B-ENVS,Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-envs-major-10/print
B-ENVS,Environmental Science,https://handbook.unimelb.edu.au/2024/components/b-envs-major-3/print
B-ENVS,Environmental Geography,https://handbook.unimelb.edu.au/2024/components/b-envs-major-8/print
B-ENVS,Landscape Architecture,https://handbook.unimelb.edu.au/2024/components/b-envs-major-4/print
B-ENVS,Landscape Ecosystem Management,https://handbook.unimelb.edu.au/2024/components/b-envs-major-5/print
B-ENVS,Property,https://handbook.unimelb.edu.au/2024/components/b-envs-major-6/print
B-ENVS,Spatial Systems,https://handbook.unimelb.edu.au/2024/components/b-envs-major-9/print
B-ENVS,Urban Design and Planning,https://handbook.unimelb.edu.au/2024/components/b-envs-major-7/print
B-ENVS,Environments Discipline subjects,https://handbook.unimelb.edu.au/2024/components/b-envs-infspc-1/print
B-ARTS,Ancient World Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-1/print
B-ARTS,Anthropology,https://handbook.unimelb.edu.au/2024/components/b-arts-major-31/print
B-ARTS,Arabic Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-2/print
B-ARTS,Art History,https://handbook.unimelb.edu.au/2024/components/b-arts-major-3/print
B-ARTS,Asian Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-4/print
B-ARTS,Chinese Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-6/print
B-ARTS,Classics (Ancient Greek and Latin),https://handbook.unimelb.edu.au/2024/components/b-arts-major-8/print
B-ARTS,Creative Writing,https://handbook.unimelb.edu.au/2024/components/b-arts-major-9/print
B-ARTS,Criminology,https://handbook.unimelb.edu.au/2024/components/b-arts-major-10/print
B-ARTS,Economics,https://handbook.unimelb.edu.au/2024/components/b-arts-major-11/print
B-ARTS,English and Theatre Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-12/print
B-ARTS,French Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-13/print
B-ARTS,Gender Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-30/print
B-ARTS,Geography,https://handbook.unimelb.edu.au/2024/components/b-arts-major-14/print
B-ARTS,German Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-15/print
B-ARTS,Hebrew and Jewish Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-16/print
B-ARTS,History,https://handbook.unimelb.edu.au/2024/components/b-arts-major-17/print
B-ARTS,History and Philosophy of Science,https://handbook.unimelb.edu.au/2024/components/b-arts-major-18/print
B-ARTS,Indigenous Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-5/print
B-ARTS,Indonesian Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-19/print
B-ARTS,Islamic Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-20/print
B-ARTS,Italian Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-21/print
B-ARTS,Japanese Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-22/print
B-ARTS,Korean Studies,https://handbook.unimelb.edu.au/2024/components/b-arts-major-33/print
B-ARTS,Linguistics and Applied Linguistics,https://handbook.unimelb.edu.au/2024/components/b-arts-major-23/print
