Course Code,Major/Minor Name,Structure
B-ENVS,Architecture,"Structure 100 credit points 100 points of Architecture subjects. Subject Options The following description of the Architecture major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. From 2016 double majors are available for certain majors within the Bachelor of Environments. Further information on double majors can be found here: http://edsc.unimelb.edu.au/double-majors . If you are interested in any double majors, please check the sample course plan before selecting any elective subjects PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry. Level 1 Environments & Enabling Electives (37.5 points) In order to complete this major, enrol into ALL these subjects in your first year: ENVS10004, ENVS10003, ABPL10004 Architecture major - core subjects (87.5 points) All of ABPL20033, ABPL20036, ABPL30041, ABPL30048, ABPL30050, ABPL30037 Design Studio subjects (12.5 points) Select one of ABPL20027, ABPL20028 IMPORTANT : Completion of both of the subjects above is strongly recommended. Therefore it is strongly recommended that the subject not chosen as this elective in the major is taken as an Environments Discipline subject. Environments Discipline subjects (50 points) Choose the total of 50 points of Environments Discipline subjects RULES : Please note these rules when choosing the Environments Discipline subjects below Must complete 25 points level 2 subjects Select from the list of Environments Discipline subjects Breadth subjects and restrictions for Architecture major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. For detailed information on these Restrictions for Breadth Options view 2016 Handbook. Students undertaking the Architecture major are not permitted to take as breadth: any Art History subjects (subject codes beginning AHIS) any of the following Level 2 or Level 3 Planning, Design or Construction subjects. ABPL20034, ABPL20037, ABPL20038, ABPL20035, ABPL20039, ABPL20040, ABPL20042, ABPL20047, ABPL30042, ABPL30043, ABPL30046, ABPL30049, ABPL30051, ABPL20053, ABPL20041 Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments The Bachelor of Environments Architecture major provides a pathway into the Master of Architecture. The Master of Architecture program is recognised and accredited by the Australian Institute of Architects (AIA), the Architects Accreditation Council of Australia (AACA) and the Architects Registration Board of Victoria (ARBV). "
B-ENVS,Construction,"Structure 100 credit points 100 points of Construction subjects. Subject Options The following description of the Construction major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. Double majors are available for certain majors within the Bachelor of Environments. Further information on double majors can be found here: http://edsc.unimelb.edu.au/double-majors , if you are interested in any double majors, please check the sample course plan before selecting any elective subjects. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry Level 1 Environments & Enabling Electives (25 points) In order to complete this major, enrol into ALL these subjects in your first year: ABPL10005, ENVS10009 Please note ENVS10009 is not offered in 2017. Students majoring in Construction who have not yet completed this subject may replace it with CONS10001 Principles of Building. For further assistance and information please contact STOP 1 . IMPORTANT : If you do not have the required mathematics background of VCE Mathematical Methods Units 3 and 4, enrol into MAST10012 Introduction to Mathematics ENVS10005 Governing Environments is recommended to be taken as an Environments Elective. 25 points of recommended breadth subjects can also be chosen as Enabling Electives (see below) Construction major - core subjects (100 points) All of ABPL20036, ABPL20042, ABPL20053, ABPL30039, ABPL30040, ABPL30044, ABPL30046, ABPL30055 Environments Discipline subjects (50 points) Choose the total of 50 points of Environments Discipline subjects RULES : Please note these rules when choosing the Environments Discipline subjects below Must complete 25 points level 2 subjects Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Construction major students RECOMMENDED BREADTH SUBJECTS In order to meet the requirements for accreditation, students intending to major in Construction are strongly recommended to undertake the following subjects as breadth. 25 points of these subjects can also be taken as an Enabling Electives (see above). ECON10004, BLAW10001, MGMT20001, ACCT10001 BREADTH RESTRICTIONS The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. Detailed information on these Restrictions for Breadth Options is available. Students undertaking the Construction major are not permitted to take as breadth: any Accounting subjects (subject codes beginning ACCT) - with the exception of ACCT10001 Accounting Reports and Analysis any Civil Engineering subjects (subject codes beginning CVEN) any Economics subjects (subject codes beginning ECON) - with the exception of ECON10004 Introductory Microeconomics any Engineering subjects (subject codes beginning ENGR) any Geomatics subjects (subject codes beginning GEOM) any Management subjects (subject codes beginning MGMT) - with the exception of MGMT20001 Organisational Behaviour any of the following subjects: ABPL20031, ABPL20004, ABPL20033, ABPL30006, ABPL30012, ABPL30041, ABPL30045, ABPL20035 Notes 1) For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments The Australian Institute of Building (AIB) has accredited the Bachelor of Environments Construction major as a qualification for AIB Associate membership. The Bachelor of Environments Construction major provides a pathway into the Master of Construction Management. It is expected that graduates of the Master of Construction Management will have completed the academic requirements for corporate membership of: Australian Institute of Building (AIB) Australian Institute of Quantity Surveyors (AIQS) Royal Institution of Chartered Surveyors (RICS) 2) B-ENVS majoring in construction students who commenced their studies prior to 2016 and have not completed ENVS 10009 structural environment, may replace this subject with CONS10001 principle of buildings. "
B-ENVS,Engineering Systems,"Structure 150 credit points 112.5 points of Engineering Systems subjects. Subject Options The following description of the Engineering Systems major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry. Level 1 Environments & Enabling Electives (37.5 points) In order to complete this major, enrol into the following first year subject as an Environment Elective: ENVS10009 * Please note ENVS10009 will not be offered in 2017. Students majoring in Engineering Systems who have not yet completed ENVS10009 may enrol in ENGR10005 Statics in 2017. For further information and assistance please contact STOP 1 . PLUS based on your mathematics background, two subjects as an Enabling Subject: Mathematics Background VCE Mathematical Methods Units 1 and 2 only : Enrol in MAST10012 Introduction to Mathematics & MAST10005 Calculus 1. Then enrol into MAST10006 Calculus 2 and MAST10007 Linear Algebra as Breadth Subjects (see below) VCE Mathematical Methods Units 3 and 4 with a study score of 25 or more : Enrol in MAST10005 Calculus 1 & MAST10006 Calculus 2. Then enrol into MAST10007 Linear Algebra as a Breadth Subject (see below) VCE Specialist Maths Units 3 and 4 with a study score of 30 or more : Enrol in MAST10006 Calculus 2 & MAST10007 Linear Algebra. IMPORTANT: This requirement may be taken as breadth. MAST10012, MAST10005, MAST10006, MAST10007 Engineering Systems major - core subjects (87.5) All of MAST20029, ENGR20003, ENGR20004, ENEN20002, CVEN30008, CVEN30010, ENGR30002 Major Electives & Environments Discipline subjects Choose the total of 25 points of Major elective subjects; 37.5 points of Environments Discipline subjects RULES : Please note these rules when choosing the Major electives & Environments Discipline subjects below Must complete 12.5 points level 2 subjects Must complete 12.5 points level 3 subject s Major Electives (25 points) IMPORTANT : It is strongly recommended that students select two electives from the one discipline, as this will strengthen students' discipline knowledge within the major. Students wishing to apply for the Master of Engineering (Civil or Structural) MUST enrol into CVEN30009 Structural Theory and Design as a major elective. Chemistry CHEM10004, CHEM20011 Biology ECOL20003, GEOG20002, HORT20027, ATOC30005, ECOL30006 Infrastructure CVEN30009, ABPL30039 Spatial Systems GEOM20013, GEOM30009, GEOM30012, GEOM20015, GEOM30013 Environmental Economics and Management IBUS20002, MGMT20001, MGMT20007, ABPL20042 Environments Discipline subjects (37.5 points) Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Engineering Systems major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. Detailed information on these Restrictions for Breadth Options is available. Students undertaking the Engineering Systems major are not permitted to take as breadth: any Chemistry subjects (subject codes beginning CHEM) any Civil Engineering subjects (subject codes beginning CVEN) any Earth Science subjects (subject codes beginning ERTH) any Engineering subjects (subject codes beginning ENGR) any Geology subjects (subject codes beginning GEOL) any Geomatics subjects (subject codes beginning GEOM) any Mathematics and Statistics subjects (subject codes beginning MAST) - with the exception of MAST10006 Calculus 2 and MAST10007 Linear Algebra (and any required prerequisites for these subjects such as MAST10005 Calculus 1 and MAST10012 Introduction to Mathematics) any Physics subjects (subject codes beginning PHYC) any of the following Level 2 or Level 3 Construction subjects: ABPL20033, ABPL20036, ABPL30039, ABPL30040, ABPL30041, ABPL30055, ABPL20041, ABPL30046, ABPL20053, ABPL20042 Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments "
B-ENVS,Environmental Science,"Structure 112.5 credit points 112.5 points of Environmental Science subjects. Subject Options The following description of the Environmental Science major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry. Level 1 Optional Core and Environments & Enabling Electives (25 points) In order to complete this major, enrol in the following Level 1 Optional Core subject: ENVS10001 IMPORTANT: This subject can also be taken as a Level 1 Environments Elective. PLUS one of the following: MAST10002, MAST10005, MAST10006, MAST10007, MAST10010 This requirement may be taken as breadth. Environmental Science major - core subjects (37.5 points) All of ECOL20003, EVSC30002, EVSC30003 Major Electives & Environments Discipline subjects Choose the total of 75 points of Major elective subjects; 37.5 points of Environments Discipline subjects RULES : Please note these rules when choosing the Major electives & Environments Discipline subjects below Must complete 50 points level 2 subjects Must complete 37.5 points level 3 subjects Major Electives (75 points) Select from the list below CHEM10004, CHEM20011, CHEM20018, CHEM20019, CHEM20020, EVSC20001, MAST20006, MAST20005, GEOG20002, ERTH20001, BOTA30004, CHEM30012, ECOL30005, ERTH30001, GEOG30022, GEOM30009, MAST30025, EVSC30006, GEOG30001, ECOL30007, ENST20002, FRST30002 Environments Discipline subjects (37.5 points) Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Environmental Science major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. For detailed information on these Restrictions for Breadth Options view 2016 Handbook. Students undertaking the Environmental Science major are not permittedto take as breadth: any Agricultural Science subjects (subject codes beginning AGRI ) any Biology subjects (subject codes beginning BIOL) any Biochemistry and Molecular Biology subjects (subject codes beginning BCMB) any Botany/Plant Science subjects (subject codes beginning BOTA). any Chemistry subjects (subject codes beginning CHEM) any Civil Engineering subjects (subject codes beginning CVEN) any Engineering subjects (subject codes beginning ENGR) any Environmental Science subjects (subject codes beginning EVSC) any Geography subjects (subject codes beginning GEOG) any Geomatics subjects (subject codes beginning GEOM) any Mathematics and Statistics subjects (subject codes beginning MAST) any Physics subjects (subject codes beginning PHYC) Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments "
B-ENVS,Environmental Geography,"Structure 150 credit points 112.5 points of Environmental Geographies subjects Subject Options The following description of the Environmental Geographies major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry. Level 1 Optional Core (12.5 points) In order to complete this major, enrol in the following subject below in your first year: ENVS10001 IMPORTANT: This subject can also be taken as a Level 1 Environments Elective. Environmental Geographies core subjects (37.5 points) All of GEOG20001, GEOG20003, GEOG30019 Major Electives & Environments Discipline subjects Choose the total of 75 points of Major elective subjects; 37.5 points of Environments Discipline subjects RULES : Please note these rules when choosing the Major electives & Environments Discipline subjects below Must complete 12.5 points level 2 subjects Must complete 25 points level 3 subjects Major Electives (75 points) Select from the list below AIND20010, ECOL20003, ECON30011, GEOG10001, GEOG20002, GEOG20008, GEOG20009, GEOG20010, GEOG20011, GEOG20012, GEOG30001, GEOG30007, GEOG30021, GEOG30022, GEOG30023, GEOG30024, GEOG30025, GEOG30026, GEOG30027, ENST20002 Environments Discipline subjects (37.5 points) Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Environmental Geographies major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. Detailed information on these Restrictions for Breadth Options is available. Students undertaking the Environmental Geographies major are not permitted to take as breadth: any Anthropology subjects (subject codes beginning ANTH) any Asian Studies subjects (subject codes beginning ASIA) any Australian Indigenous Studies subjects (subject codes beginning AIND) any Australian Studies subjecs (subject code beginning AUST) any Criminology subjects (subject codes beginning CRIM) any Development Studies subjects (subject codes beginning DEVT) any Economics subjects (subject codes beginning ECON) any Environmental Science subjects (subject codes beginning EVSC) any Gender Studies subjects (subject codes beginning GEND) any Linguistics subjects (subject codes beginning LING) any Political Science subjects (subject codes beginning POLS) any Psychology subjects (subject codes beginning PSYC) any Social Theory subjects (subject codes beginning SOTH) any Sociology subjects (subject codes beginning SOCI) Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments "
B-ENVS,Landscape Architecture,"Structure 100 credit points 100 points of Landscape Architecture subjects. Subject Options The following description of the Landscape Architecture major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. From 2016 double majors are available for certain majors within the Bachelor of Environments. Further information on double majors can be found here: http://edsc.unimelb.edu.au/double-majors . If you are interested in any double majors, please check the sample course plan before selecting any elective subjects PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry. Level 1 Environments & Enabling Electives (12.5 points) In order to complete this major, enrol in ONE of the following subjects: ENVS10004, ABPL10003 IMPORTANT: ENVS10006 Mapping Environments is recommended to be taken as an Environments Elective. Landscape Architecture major - core subjects (75 points) All of ABPL20047, HORT20026, ABPL30042, ABPL30049, ABPL30061 Major electives subjects (25 points) Select two of ABPL20027, ABPL20038, ABPL20040 Environments Discipline subjects (50 points) Choose the total of 50 points of Environments Discipline subjects RULES : Please note these rules when choosing the Environments Discipline subjects below Must complete 12.5 points level 2 subjects Must complete 12.5 points level 3 subjects Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Landscape Architecture major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. For detailed information on these Restrictions for Breadth Options view 2016 Handbook Students undertaking the Landscape Architecture major are not permitted to take as breadth: any Botany/Plant Science subjects (subject codes beginning BOTA) any Ecology subjects (subject codes beginning ECOL) any Horticulture subjects (subject codes beginning HORT) any of the following Level 2 or Level 3 Design subjects: ABPL20027, ABPL20028, ABPL20030, ABPL20036, ABPL30037, ABPL30048, ABPL30050, ABPL30051, ABPL30053 Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments The Bachelor of Environments Landscape Architecture major provides a pathway into the Master of Landscape Architecture. The Master of Landscape Architecture program is recognised and accredited by the Australian Institute of Landscape Architects (AILA). "
B-ENVS,Landscape Ecosystem Management,"Structure 112.5 credit points 112.5 points of Landscape Management subjects. Subject Options The following description of the Landscape Management major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry here Level 1 Optional Core (50 points) In order to complete this major, you must enrol in the following subjects in your first year: BIOL10001, ENVS10002, ENVS10001 And you must enrol in at least one of the following: ENVS10007, ENVS10005, ENVS10011 Landscape Management major - core subjects (75 points) All of ECOL20003, ENST20001, EVSC20005, EVSC30007 EVSC20001 EVSC20002 Major Electives & Environments Discipline subjects Choose the total of 37.5 points of Major elective subjects; 37.5 points of Environments Discipline subjects RULES : Please note these rules when choosing the Major electives & Environments Discipline subjects below Must complete 50 points level 3 subjects Major Electives (37.5 points) Select from the list below HORT20026, GEOG20003, BOTA30004, EVSC30006, GEOM20013, HORT20027, FRST30001, FRST30002, FRST20014 Environments Discipline subjects (37.5 points) Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Landscape Management major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. Detailed information on these Restrictions for Breadth Options is available. Students undertaking the Landscape Management major are not permitted to take as breadth: any Agricultural Science subjects (subject codes beginning AGRI) any Biology subjects (subject codes beginning BIOL) any Botany/Plant Science subjects (subject codes beginning BOTA) any Earth Sciences subjects (subject codes beginning ERTH) any Ecology subjects (subject codes beginning ECOL) any Environmental Science subjects (subject codes beginning EVSC) any Geography subjects (subject codes beginning GEOG) any Geology subjects (subject codes beginning GEOL) any Horticulture subjects (subject codes beginning HORT) Notes For more information on this major and to view a sample course plan see: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments "
B-ENVS,Property,"Structure 100 credit points 100 points of Property subjects. Subject Options The following description of the Property major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. From 2016 double majors are available for certain majors within the Bachelor of Environments. Further information on double majors can be found here: http://edsc.unimelb.edu.au/double-majors . If you are interested in any double majors, please check the sample course plan before selecting any elective subjects PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry here Level 1 Environments & Enabling Electives (25 points) In order to complete this major, enrol into ALL these subjects in your first year: ECON10004, ENVS10003 IMPORTANT : If you do not have the required mathematics background of VCE Mathematical Methods Units 3 and 4, enrol into MAST10012 Introduction to Mathematics ECON10004 Introductory Microeconomics can also be taken as a Breadth Subject. Property major - core subjects (100 points) All of ABPL20004, ABPL20031, ABPL30006, ABPL30012, ABPL30045, ABPL20052, ABPL20051, ABPL30059 Environments Discipline subjects (50 points) Choose the total of 50 points of Environments Discipline subjects RULES : Please note these rules when choosing the Environments Discipline subjects below Must complete 12.5 points level 2 subjects Must complete 12.5 points level 3 subjects Select from this list : Environments Discipline subjects Breadth subject and restrictions for Property major students RECOMMENDED BREADTH SUBJECT In order to meet the requirements for accreditation, students intending to major in Property are strongly recommended to undertake the following subject as breadth. This subject can also be taken as a Level 1 Environments & Enabling Elective. ECON10003 BREADTH RESTRICTIONS The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. Detailed information on these Restrictions for Breadth Options is available. Students undertaking the Property major are not permitted to take as breadth: any Accounting subjects (subject codes beginning ACCT) any Economics subjects (subject codes beginning ECON) - with the exception of ECON10004 Introductory Microeconomics and ECON10003 Introductory Macroeconomics any Finance subjects (subject codes beginning FNCE) any Management subjects (subject codes beginning MGMT) any of the following Level 2 or Level 3 Construction subjects: ABPL20036, ABPL20053, ABPL30039, ABPL30040, ABPL30044, ABPL30055, ABPL30046, ABPL20041 Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments The Bachelor of Environments Property major provides a pathway into the Master of Property. It is expected that graduates of the Master of Property will have completed the academic requirements for membership of: Australian Property Institute (API) Royal Institution of Chartered Surveyors (RICS) students who have not completed VCE Mathematical Methods 3 and 4 or MAST10012 or equivalent cannot enrol in the Property Major, which begins with the second-year subject ABPL20031 Principles of Property. Notes: Students who have not completed ABPL30045, may enroll in PROP30003 Students who have not completed ABPL30012 may enroll in PROP30002 Students  who have  not completed ABPL20051 may enroll in PROP20003 Students who have not completed  ABPL20052 may enrol in PROP20001 "
B-ENVS,Spatial Systems,"Structure 150 credit points 100 points of Spatial Systems subjects. Subject Options The following description of the Spatial Systems major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry here Level 1 Environments & Enabling Electives (12.5 - 25 points) Mathematics Background The mathematics pre-requisite of the spatial systems major should be covered – in spirit and practice – as enabling subjects (calculus 1 or calculus 2, depending on the candidate’s school math, and Linear Algebra) In order to complete this major, enrol into the subjects below in your first year, based on your mathematics background: VCE Mathematical Methods Units 1 and 2 only : Enrol in MAST10012 Introduction to Mathematics, followed by MAST10005 Calculus 1 VCE Mathematical Methods Units 3 and 4 with a study score of 25 or more : Enrol in MAST10005 Calculus 1 VCE Specialist Maths Units 3 and 4 with a study score of 30 or more : Enrol in MAST10006 Calculus 2 This requirement may be taken as breadth. MAST10005, MAST10006, MAST10007 IMPORTANT : 1. Students who completed VCE Mathematical Methods Units 1 and 2 only : Enrol in MAST10012 Introduction to Mathematics, followed by MAST10005 Calculus 1. This requirement may be taken as breadth 2. ENVS10005 Governing Environments and ENVS10006 Mapping Environments are recommended to be taken as Environments Electives. Spatial Systems major - core subjects (100 points) GEOM20013, GEOM20015, COMP20005, INFO20003, GEOM30009, GEOM30012, GEOM30013, CVEN30008 Environments Discipline subjects (37.5 points) Choose the total of 37.5 points of Environments Discipline subjects RULES : Please note these rules when choosing the Environments Discipline subjects below Must complete 12.5 points level 2 subjects Must complete 12.5 points level 3 subjects Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Spatial Systems major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. Detailed information on these Restrictions for Breadth Options is available. Students undertaking the Geomatics major are not permitted to take as breadth: any Civil Engineering subjects (subject codes beginning CVEN) any Computer Science subjects (subject codes beginning COMP) any Engineering subjects (subject codes beginning ENGR) any Geomatics subjects (subject codes beginning GEOM) any Informatics subjects (subject codes beginning INFO) any Mathematics and Statistics subjects (subject codes beginning MAST) - with the exception of MAST10006 Calculus 2 and MAST10007 Linear Algebra (and any required prerequisites for these subjects such as MAST10005 Calculus 1 and MAST10012 Introduction to Mathematics) any Physics subjects (subject codes beginning PHYC) any Science Informatics subjects (subject codes beginning SINF) Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments "
B-ENVS,Urban Design and Planning,"Structure 100 credit points 100 points of Urban Design and Planning subjects. Subject Options The following description of the Urban Design and Planning major aligns with the Study Plan Structure viewable on the Portal for students who commenced the Bachelor of Environments in 2015 or later. The components within the structure of this major have been designed to enforce the requirements of both this specific major and of the course overall, e.g. the requirement that at least 62.5 points of Environments discipline subjects (which can include subjects taken within the major) are taken at each of Level 2 and Level 3. PRE-2015 STUDENTS : Students who commenced the Bachelor of Environments prior to 2015 should refer to the handbook entry for the year they commenced in conjunction with the 2015 handbook listings for Environments elective and Breadth subject listings. View 2014 Bachelor of Environments Handbook entry. Level 1 Environments & Enabling Electives In order to complete this major, enrol into ALL these subjects in your first year: ENVS10004, ENVS10007 IMPORTANT : ENVS10005 Governing Environments is recommended to be taken as an Environments Elective. Urban Planning and Design major - core subjects (87.5 points) ABPL20034, ABPL20037, ABPL20049, ABPL30051, ABPL20035, ABPL30060 Major Electives & Environments Discipline subjects Choose the total of 12.5 points of Major elective subjects; 50 points of Environments Discipline subjects RULES : Please note these rules when choosing the Major electives & Environments Discipline subjects below Must complete 12.5 points level 2 subjects Must complete 25 points level 3 subjects Major Electives (12.5 points) Select from the list below ABPL20031, ABPL20045, GEOG20008, EVSC30006, GEOG30021, GEOG20003, GEOG20001, ABPL20028 Environments Discipline subjects (50 points) Select from this list : Environments Discipline subjects Breadth subjects and restrictions for Urban Design and Planning major students The breadth requirements for the Bachelor of Environments include the restriction of some subjects as breadth options, depending on an individual student’s choice of major. Subjects in the Handbook that are marked as available as breadth in the Bachelor of Environments may be subject to further restrictions, depending up which major a student is completing in that course. For detailed information on these Restrictions for Breadth Options view 2016 Handbook Students undertaking the Urban Design and Planning major are not permitted to take as breadth: any of the following Level 2 or Level 3 Design subjects: ABPL20027, ABPL20028, ABPL20030, ABPL20036, ABPL20038, ABPL20039, ABPL20040, ABPL20047, HORT20026, ABPL30037, ABPL30042, ABPL30043, ABPL30048, ABPL30049, ABPL30050, ABPL30051, ABPL30052, ABPL30053 Notes For more information on this major and to view a sample course plan please visit: http://edsc.unimelb.edu.au/sample-course-plans-bachelor-environments The Bachelor of Environments Urban Design and Planning major provides a pathway into either the Master of Urban Design or the Master of Urban Planning. It is expected that graduates of either the Master of Urban Design or the Master of Urban Planning will have completed the academic requirements for membership of the Planning Institute of Australia (PIA). "
