Subject Code,Prerequisites,Corequisites,Non-allowed Subjects
DPSS30011,Prerequisites Option 1: Admission into the B-FAPRO Bachelor of Fine Arts (Production) AND Code Name Teaching period Credit Points DPSS20013 Production Studio 4 Semester 2 (On Campus - Southbank) 25 OR Option 2: Admission into the B-DES Bachelor of Design AND Code Name Teaching period Credit Points ARCH10001 Foundations of Design: Representation Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 AND Submit a 200-word expression of interest.,None,None
GEOM90017,Prerequisites Students must have approval of the Subject and Program Co-ordinator prior to enrolling in this subject.,None,CodeNameTeaching periodCredit PointsENGR90033InternshipSemester 1 (Dual-Delivery - Parkville)Semester 2 (Dual-Delivery - Parkville)Summer Term (Dual-Delivery - Parkville)25
DENT90107,Prerequisites None,None,None
MEDS90042,Prerequisites Students must complete: Code Name Teaching period Credit Points MEDS90041 MD Discovery 3: Integration April (On Campus - Parkville) August (On Campus - Parkville) Winter Term (On Campus - Parkville) February (On Campus - Parkville) March (On Campus - Parkville) 12.5,None,None
BUSA90547,"Prerequisites Completion of 100 credit points from the following subjects: Business Data Platforms, Coding for Business Problems, Decision Making and Optimisation, Statistical Learning for Business, Machine Learning & AI for Business, Causal Analytics for Business, Predictive Business Analytics, Text Analytics for Business, Risk Analytics, Customer Analytics, Supply Chain Analytics.",None,None
ACCT90007,Prerequisites Code Name Teaching period Credit Points ACCT90014 Auditing and Assurance Services Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 OR Equivalent,None,None
DEVT90007,Prerequisites None,None,None
ENST90032,Prerequisites None,None,None
NURS90129,Prerequisites Completion of the online 'Human Anatomy for students interested in Health Sciences' if applicant has not completed a major in human anatomy.,CodeNameTeaching periodCredit PointsNURS90130Nursing Assessment & CareSemester 1 (On Campus - Parkville)25,None
SKIL90004,Prerequisites None,None,None
ECON20013,Prerequisites None,None,None
BIOL40013,Prerequisites Code Name Teaching period Credit Points BIOL40012 Research Project - RMH Part 1 Semester 2 (On Campus - Parkville) 50,None,None
