Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Design and Production Melbourne x Berlin,DPSS30011,https://handbook.unimelb.edu.au/2024/subjects/dpss30011,Undergraduate Level 3,12.5 credit points,Not offered in 2024
Spatial Industry Internship,GEOM90017,https://handbook.unimelb.edu.au/2024/subjects/geom90017,Graduate coursework,12.5 credit points,Not offered in 2024
Special Needs Dentistry 3,DENT90107,https://handbook.unimelb.edu.au/2024/subjects/dent90107,Graduate coursework,75 credit points,Not offered in 2024
MD Discovery 4: Creation,MEDS90042,https://handbook.unimelb.edu.au/2024/subjects/meds90042,Graduate coursework,50 credit points,Not offered in 2024
Applied Business Analytics,BUSA90547,https://handbook.unimelb.edu.au/2024/subjects/busa90547,Graduate coursework,12.5 credit points,Not offered in 2024
Assurance Practices,ACCT90007,https://handbook.unimelb.edu.au/2024/subjects/acct90007,Graduate coursework,12.5 credit points,Not offered in 2024
Development Policy: Independent Project,DEVT90007,https://handbook.unimelb.edu.au/2024/subjects/devt90007,Graduate coursework,12.5 credit points,Not offered in 2024
Sustainability and Behaviour Change,ENST90032,https://handbook.unimelb.edu.au/2024/subjects/enst90032,Graduate coursework,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Nursing Science 1,NURS90129,https://handbook.unimelb.edu.au/2024/subjects/nurs90129,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Project Management in Science,SKIL90004,https://handbook.unimelb.edu.au/2024/subjects/skil90004,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Generating the Wealth of Nations,ECON20013,https://handbook.unimelb.edu.au/2024/subjects/econ20013,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Research Project - RMH Part 2,BIOL40013,https://handbook.unimelb.edu.au/2024/subjects/biol40013,Honours,25 credit points,"Offered Semester 1, Semester 2, 2024"
Molecular and Cellular Biomedicine,BIOM20001,https://handbook.unimelb.edu.au/2024/subjects/biom20001,Undergraduate Level 2,25 credit points,"Offered Semester 1, 2024"
Introduction to Business Problems,BUSA90499,https://handbook.unimelb.edu.au/2024/subjects/busa90499,Graduate coursework,12.5 credit points,"Offered March, 2024"
Cultural Analysis of Exchange Studies,EDUC20071,https://handbook.unimelb.edu.au/2024/subjects/educ20071,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Advanced Motion Control,MCEN90017,https://handbook.unimelb.edu.au/2024/subjects/mcen90017,Graduate coursework,12.5 credit points,Not offered in 2024
Principles of Medicine & Surgery 3 PtB,VETS90057,https://handbook.unimelb.edu.au/2024/subjects/vets90057,Graduate coursework,6.25 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Screenwriting Practices 2A,FLTV20012,https://handbook.unimelb.edu.au/2024/subjects/fltv20012,Undergraduate Level 2,25 credit points,"Offered Semester 1, 2024"
Chemistry Research Project Pt 4 (Cont.),CHEM90057,https://handbook.unimelb.edu.au/2024/subjects/chem90057,Graduate coursework,25 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Leadership in Professional Practice,PHTY90111,https://handbook.unimelb.edu.au/2024/subjects/phty90111,Graduate coursework,12.5 credit points,"Offered Semester 1 (Early-Start), 2024"
BioSciences Research Project Part 4,BIOL90018,https://handbook.unimelb.edu.au/2024/subjects/biol90018,Graduate coursework,37.5 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Creative Arts Therapists in Community,CREA90017,https://handbook.unimelb.edu.au/2024/subjects/crea90017,Graduate coursework,12.5 credit points,"Offered Semester 2 (Early-Start), 2024"
Clinical Sexual & Reproductive Health,POPH90070,https://handbook.unimelb.edu.au/2024/subjects/poph90070,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Twentieth-Century Italian Art: 1909-1969,AHIS40008,https://handbook.unimelb.edu.au/2024/subjects/ahis40008,Honours,12.5 credit points,"Offered Semester 1, 2024"
Foundation Studies in Chemistry,CHEM10008,https://handbook.unimelb.edu.au/2024/subjects/chem10008,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
