Subject Code,Prerequisites
DPSS30011,Prerequisites Option 1: Admission into the B-FAPRO Bachelor of Fine Arts (Production) AND Code Name Teaching period Credit Points DPSS20013 Production Studio 4 Semester 2 (On Campus - Southbank) 25 OR Option 2: Admission into the B-DES Bachelor of Design AND Code Name Teaching period Credit Points ARCH10001 Foundations of Design: Representation Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 AND Submit a 200-word expression of interest.
GEOM90017,Prerequisites Students must have approval of the Subject and Program Co-ordinator prior to enrolling in this subject.
DENT90107,Prerequisites None
MEDS90042,Prerequisites Students must complete: Code Name Teaching period Credit Points MEDS90041 MD Discovery 3: Integration April (On Campus - Parkville) August (On Campus - Parkville) Winter Term (On Campus - Parkville) February (On Campus - Parkville) March (On Campus - Parkville) 12.5
BUSA90547,"Prerequisites Completion of 100 credit points from the following subjects: Business Data Platforms, Coding for Business Problems, Decision Making and Optimisation, Statistical Learning for Business, Machine Learning & AI for Business, Causal Analytics for Business, Predictive Business Analytics, Text Analytics for Business, Risk Analytics, Customer Analytics, Supply Chain Analytics."
ACCT90007,Prerequisites Code Name Teaching period Credit Points ACCT90014 Auditing and Assurance Services Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 OR Equivalent
DEVT90007,Prerequisites None
ENST90032,Prerequisites None
NURS90129,Prerequisites Completion of the online 'Human Anatomy for students interested in Health Sciences' if applicant has not completed a major in human anatomy.
SKIL90004,Prerequisites None
ECON20013,Prerequisites None
BIOL40013,Prerequisites Code Name Teaching period Credit Points BIOL40012 Research Project - RMH Part 1 Semester 2 (On Campus - Parkville) 50
BIOM20001,Prerequisites All of Code Name Teaching period Credit Points BIOL10002 Biomolecules and Cells Semester 1 (On Campus - Parkville) 12.5 CHEM10006 Chemistry for Biomedicine Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points BIOM10002 Exploring Biomedicine Semester 2 (On Campus - Parkville) 12.5 BIOL10003 Genes and Environment
BUSA90499,Prerequisites None
EDUC20071,Prerequisites Students should have completed at least 75 points of undergraduate subjects.
MCEN90017,Prerequisites Code Name Teaching period Credit Points ELEN90064 Advanced Control Systems Semester 2 (On Campus - Parkville) 12.5
VETS90057,Prerequisites Code Name Teaching period Credit Points VETS90056 Principles of Medicine & Surgery 3 PtA Semester 2 (Extended) (On Campus - Werribee) Semester 1 (Extended) (On Campus - Werribee) 6.25
FLTV20012,Prerequisites All of Code Name Teaching period Credit Points FLTV10009 Screen Culture Semester 2 (On Campus - Southbank) 12.5 FLTV10015 Screenwriting Practices 1B Semester 2 (On Campus - Southbank) 25
CHEM90057,Prerequisites None
PHTY90111,"Prerequisites PHTY90075 Research, Evidence and Ethics in Health"
