Subject Name,Subject Code,Subject Type,Primary Info,Credits,URL
Design and Production Melbourne x Berlin,DPSS30011,Quotas apply,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss30011
Spatial Industry Internship,GEOM90017,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/geom90017
Special Needs Dentistry 3,DENT90107,Subject,Not offered in 2024,"Graduate coursework, 75 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90107
MD Discovery 4: Creation,MEDS90042,Requisites apply,Not offered in 2024,"Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/meds90042
Applied Business Analytics,BUSA90547,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90547
Assurance Practices,ACCT90007,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90007
Development Policy: Independent Project,DEVT90007,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/devt90007
Sustainability and Behaviour Change,ENST90032,Subject,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/enst90032
Nursing Science 1,NURS90129,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/nurs90129
Project Management in Science,SKIL90004,Subject,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/skil90004
Generating the Wealth of Nations,ECON20013,Subject,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ20013
Research Project - RMH Part 2,BIOL40013,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol40013
Molecular and Cellular Biomedicine,BIOM20001,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biom20001
Introduction to Business Problems,BUSA90499,Subject,"Offered March, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90499
Cultural Analysis of Exchange Studies,EDUC20071,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ20071
