Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
MD Discovery 4: Creation,MEDS90042,https://handbook.unimelb.edu.au/2024/subjects/meds90042,Graduate coursework,50 credit points,Not offered in 2024
Applied Business Analytics,BUSA90547,https://handbook.unimelb.edu.au/2024/subjects/busa90547,Graduate coursework,12.5 credit points,Not offered in 2024
Special Needs Dentistry 3,DENT90107,https://handbook.unimelb.edu.au/2024/subjects/dent90107,Graduate coursework,75 credit points,Not offered in 2024
Development Policy: Independent Project,DEVT90007,https://handbook.unimelb.edu.au/2024/subjects/devt90007,Graduate coursework,12.5 credit points,Not offered in 2024
Assurance Practices,ACCT90007,https://handbook.unimelb.edu.au/2024/subjects/acct90007,Graduate coursework,12.5 credit points,Not offered in 2024
Design and Production Melbourne x Berlin,DPSS30011,https://handbook.unimelb.edu.au/2024/subjects/dpss30011,Undergraduate Level 3,12.5 credit points,Not offered in 2024
Spatial Industry Internship,GEOM90017,https://handbook.unimelb.edu.au/2024/subjects/geom90017,Graduate coursework,12.5 credit points,Not offered in 2024
Thesis(FT),SCWK90045,https://handbook.unimelb.edu.au/2024/subjects/scwk90045,Masters time-based research,0 credit points,"Offered Time-based Research, 2024"
Research in Auditing,ACCT40003,https://handbook.unimelb.edu.au/2024/subjects/acct40003,Honours,12.5 credit points,Not offered in 2024
Special Topics in Accounting,ACCT30007,https://handbook.unimelb.edu.au/2024/subjects/acct30007,Undergraduate Level 3,12.5 credit points,Not offered in 2024
Research Project (MFA),CREA70001,https://handbook.unimelb.edu.au/2024/subjects/crea70001,,,"Offered Time-based Research, 2024"
Macroeconomics 2,ECON90047,https://handbook.unimelb.edu.au/2024/subjects/econ90047,Graduate coursework,12.5 credit points,Not offered in 2024
Risk Management,BUSA90315,https://handbook.unimelb.edu.au/2024/subjects/busa90315,Graduate coursework,12.5 credit points,Not offered in 2024
Advanced Studies in Economics 2,ECON90065,https://handbook.unimelb.edu.au/2024/subjects/econ90065,Graduate coursework,12.5 credit points,Not offered in 2024
Strategic Management Accounting,ACCT90006,https://handbook.unimelb.edu.au/2024/subjects/acct90006,Graduate coursework,12.5 credit points,Not offered in 2024
Industry Studies in Asia,BUSA90132,https://handbook.unimelb.edu.au/2024/subjects/busa90132,Graduate coursework,12.5 credit points,Not offered in 2024
Counselling Skills,GENE90003,https://handbook.unimelb.edu.au/2024/subjects/gene90003,Graduate coursework,12.5 credit points,Not offered in 2024
PhD Research,CHEN80001,https://handbook.unimelb.edu.au/2024/subjects/chen80001,Doctorate time-based research,0 credit points,"Offered Time-based Research, 2024"
Integration and Implementation,BUSA90139,https://handbook.unimelb.edu.au/2024/subjects/busa90139,Graduate coursework,50 credit points,Not offered in 2024
Statutory Valuation (PG),ABPL90045,https://handbook.unimelb.edu.au/2024/subjects/abpl90045,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
BioSciences Research Project Part 4,BIOL90018,https://handbook.unimelb.edu.au/2024/subjects/biol90018,Graduate coursework,37.5 credit points,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024"
Creative Arts Therapists in Community,CREA90017,https://handbook.unimelb.edu.au/2024/subjects/crea90017,Graduate coursework,12.5 credit points,"Offered Semester 2 (Early-Start), 2024"
Clinical Sexual & Reproductive Health,POPH90070,https://handbook.unimelb.edu.au/2024/subjects/poph90070,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Twentieth-Century Italian Art: 1909-1969,AHIS40008,https://handbook.unimelb.edu.au/2024/subjects/ahis40008,Honours,12.5 credit points,"Offered Semester 1, 2024"
Foundation Studies in Chemistry,CHEM10008,https://handbook.unimelb.edu.au/2024/subjects/chem10008,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Farm Trees & Agroforestry,FRST90033,https://handbook.unimelb.edu.au/2024/subjects/frst90033,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Financial Accounting Research,ACCT90019,https://handbook.unimelb.edu.au/2024/subjects/acct90019,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Study Design in Clinical Research,CLRS90011,https://handbook.unimelb.edu.au/2024/subjects/clrs90011,Graduate coursework,12.5 credit points,"Offered March, 2024"
BioSciences Research Project Pt 4(Cont.),BIOL90034,https://handbook.unimelb.edu.au/2024/subjects/biol90034,Graduate coursework,37.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Property Research and Analysis,ABPL90363,https://handbook.unimelb.edu.au/2024/subjects/abpl90363,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Research and Evidence 1,PHTY90094,https://handbook.unimelb.edu.au/2024/subjects/phty90094,Graduate coursework,6.25 credit points,"Offered Semester 1 (Early-Start), 2024"
Particle Physics,PHYC90011,https://handbook.unimelb.edu.au/2024/subjects/phyc90011,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Professional Psychology Placement 2,PSYC90116,https://handbook.unimelb.edu.au/2024/subjects/psyc90116,Graduate coursework,25 credit points,"Offered Semester 2, 2024"
Animal Welfare,ANSC90007,https://handbook.unimelb.edu.au/2024/subjects/ansc90007,Graduate coursework,12.5 credit points,Not offered in 2024
Repetiteur Skills,MUSI90232,https://handbook.unimelb.edu.au/2024/subjects/musi90232,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Special Studies,AGRI30022,https://handbook.unimelb.edu.au/2024/subjects/agri30022,Undergraduate Level 3,12.5 credit points,"Offered Summer Term, Semester 1, Semester 2, 2024"
Social Entrepreneur Consulting Practicum,BUSA90517,https://handbook.unimelb.edu.au/2024/subjects/busa90517,Graduate coursework,12.5 credit points,"Offered March, 2024"
Geography Minor Research Project Part 1,GEOG90031,https://handbook.unimelb.edu.au/2024/subjects/geog90031,Graduate coursework,25 credit points,"Offered Semester 1, Semester 2, 2024"
"Dance Writing, Archives & Documentation",DNCE90016,https://handbook.unimelb.edu.au/2024/subjects/dnce90016,Graduate coursework,25 credit points,"Offered Semester 2, 2024"
TOE - Practical,MEDI90141,https://handbook.unimelb.edu.au/2024/subjects/medi90141,Graduate coursework,6.25 credit points,Not offered in 2024
Languages of the Screen,FLTV30009,https://handbook.unimelb.edu.au/2024/subjects/fltv30009,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
